Avg. Area Income,Avg. Area House Age,Avg. Area Number of Bedrooms,Area Population,Avg. Area Number of Rooms,Address,Price
79545.45857,9,3,23086.8005,1,Shahran,1850000000
79248.64245,8,3,40173.07217,4,Shahran,1850000000
61287.06718,8,2,36882.1594,4,Pardis,550000000
63345.24005,8,1,34310.24283,3,Shahrake Qods,902500000
59982.19723,3,1,26354.10947,5,Shahrake Gharb,7000000000
80175.75416,3,5,26748.42842,1,North Program Organization,2050000000
64698.46343,3,4,60828.24909,1,Pardis,600000000
78394.33928,7,5,36516.35897,1,Shahran,2150000000
59927.66081,8,3,29387.396,4,Andisheh,493000000
81885.92718,6,1,40149.96575,5,West Ferdows Boulevard,2370000000
80527.47208,5,3,47224.35984,4,West Ferdows Boulevard,2450000000
50593.6955,5,3,34343.99189,2,Narmak,2100000000
39033.80924,9,3,39220.36147,3,Narmak,1690000000
73163.66344,4,4,32326.12314,5,Saadat Abad,11000000000
69391.38018,8,4,35521.29403,3,Zafar,5000000000
73091.86675,7,5,23929.52405,1,Islamshahr,570000000
79706.96306,4,1,39717.81358,4,Narmak,6700000000
61929.07702,7,3,24595.9015,4,Pirouzi,1450000000
63508.1943,4,1,35719.65305,5,West Ferdows Boulevard,6400000000
62085.2764,9,4,44922.1067,5,Pirouzi,1390000000
86294.99909,8,3,47560.77534,4,Shahrake Gharb,7000000000
60835.08998,5,3,45574.74166,5,Shahrake Shahid Bagheri,2500000000
64490.65027,8,2,40358.96011,1,Shahran,1880000000
60697.35154,8,2,28140.96709,1,Moniriyeh,2277000000
59748.85549,9,1,27809.98654,1,Saadat Abad,7150000000
56974.47654,3,3,40694.86951,5,Velenjak,14945000000
82173.62608,4,5,38853.91807,1,Amirieh,1771000000
64626.88098,3,4,27784.74228,5,Pirouzi,4059000000
90499.05745,5,3,33970.16499,5,Southern Janatabad,630000000
59323.7921,7,1,37520.65773,3,West Ferdows Boulevard,3200000000
77811.52203,3,1,33754.7378,2,Salsabil,1500000000
68652.60921,3,2,39355.62573,5,West Ferdows Boulevard,2200000000
55041.35158,4,3,30122.47348,5,Zargandeh,7872000000
50218.70846,3,5,16810.78331,3,Feiz Garden,2350000000
55909.3223,4,3,22355.23541,4,West Ferdows Boulevard,2500000000
74372.81021,5,4,39395.15118,2,Water Organization,2150000000
78667.9046,8,2,27637.65655,4,West Ferdows Boulevard,2150000000
78699.5151,5,2,22836.60757,1,West Ferdows Boulevard,3750000000
53128.18545,9,2,32947.71196,4,West Ferdows Boulevard,5250000000
17796.63119,7,2,47162.18364,5,West Ferdows Boulevard,4830000000
58566.84936,4,1,39705.46496,4,Saadat Abad,3400000000
75537.79451,8,4,32778.19534,1,Saadat Abad,3850000000
46147.05306,5,1,27161.12861,2,Shahrake Qods,1200000000
70421.47649,3,3,43183.92849,1,Southern Janatabad,2650000000
62614.42062,6,2,26888.57956,4,ShahrAra,5000000000
66394.87159,6,4,39741.07751,5,Gisha,4750000000
73946.85107,7,5,35261.12702,5,Gisha,2980000000
69144.74571,4,1,19030.61549,1,Shahrake Gharb,7000000000
77278.69703,8,1,21725.95429,3,Ray,2035000000
86754.19663,7,3,43017.44076,2,Abbasabad,2460000000
74399.84098,8,5,41084.66282,3,Pardis,540000000
49408.19834,3,1,26881.1306,3,Ostad Moein,1450000000
62279.79005,7,1,35263.65314,1,Farmanieh,10000000000
73078.20409,8,5,54915.96178,2,Parand,635000000
72942.70506,6,4,24377.90905,5,Punak,2030000000
63819.62285,8,2,27825.57206,1,Punak,2030000000
73265.44989,7,5,21030.96618,3,Shahran,2350000000
68488.13117,6,2,18267.95471,3,Qasr-od-Dasht,3000000000
55193.85745,3,2,32537.81877,2,Aqdasieh,7200000000
77434.68924,4,2,36252.34068,2,Pakdasht,1750000000
66158.88159,7,4,37098.74217,1,Railway,3300000000
60502.90933,6,3,33579.63151,5,Punak,2800000000
60910.89379,9,2,43347.804,1,Punak,2200000000
73931.97852,4,5,36543.06728,3,Punak,2200000000
59539.94845,8,4,58600.82715,4,Punak,2200000000
56547.50719,8,1,37585.27458,4,Shahran,3500000000
65950.34702,5,4,40110.8476,2,Aqdasieh,7000000000
74533.16208,9,2,49481.56581,2,Central Janatabad,3100000000
66422.91905,5,4,31019.32482,5,West Ferdows Boulevard,2450000000
74334.49485,3,1,41640.43566,2,East Ferdows Boulevard,1920000000
63538.34616,5,3,43282.183,2,Pakdasht KhatunAbad,850000000
83953.10484,9,3,37283.35765,5,Amirieh,1650000000
57279.06358,5,5,44023.79068,3,Amirieh,1700000000
56553.55025,7,2,29682.40986,5,Parand,560000000
75795.57598,6,3,33197.77774,1,Punak,2150000000
70848.78866,7,2,40458.73587,3,Sattarkhan,5500000000
59787.4045,8,5,32402.10755,4,Saadat Abad,10200000000
64826.37189,3,5,60286.0431,1,Shahran,1760000000
65925.8538,5,3,34171.36007,3,Amirieh,1700000000
64419.25264,6,4,39318.17075,1,Parand,560000000
58544.4603,4,1,30865.58695,3,Punak,2150000000
68791.79169,3,4,48423.32244,5,Sattarkhan,5500000000
82061.5652,7,3,36271.4085,4,Saadat Abad,10200000000
80659.52544,4,1,52947.03636,4,Shahran,1760000000
66668.09352,3,5,47075.21223,2,Baghestan,1500000000
64721.5645,6,5,36115.81636,1,West Ferdows Boulevard,3730000000
65199.98994,5,2,28366.03543,1,Shahrake Qods,620000000
74579.98953,7,3,42806.14664,2,Shahryar,580000000
76273.67033,3,1,46974.57879,5,Northern Janatabad,3050000000
67561.94206,6,3,35517.54187,4,West Ferdows Boulevard,2000000000
48904.98327,5,1,32960.75307,5,North Program Organization,2600000000
72145.96721,9,2,28882.90085,2,Daryan No,5990000000
70805.61068,3,5,29268.82674,5,North Program Organization,2300000000
65383.33792,9,3,35114.40246,2,Pirouzi,1300000000
95450.29309,6,2,39388.51552,5,Southern Program Organization,2270000000
73698.69636,7,5,51815.09642,4,Rudhen,4000000000
66263.9105,3,2,49829.9515,2,West Pars,4000000000
75394.75958,5,1,22268.07531,4,Afsarieh,1650000000
65984.75064,6,4,21867.47694,1,Marzdaran,6700000000
66477.26279,6,5,32458.9867,4,Parand,580000000
69284.25964,5,4,40282.72428,1,Punak,2300000000
70404.4961,5,3,37127.9255,3,Shahrake Qods,650000000
74218.48902,3,1,46770.66097,1,Dorous,16900000000
63441.71465,9,3,48061.75267,1,Shahrake Qods,248000000
57493.92457,3,5,47039.21532,4,Pardis,510000000
81543.77732,8,5,9816.300885,2,Shahran,3850000000
78633.97376,9,1,43728.80349,1,Sadeghieh,6000000000
52202.85372,6,4,42165.81246,4,Chahardangeh,780000000
67980.38878,5,1,25909.0792,5,ShahrAra,7200000000
78568.44916,7,4,41016.64709,1,Parand,410000000
55472.65483,9,4,15353.95643,2,Pakdasht,430000000
67579.23479,9,1,21762.94969,4,Baqershahr,800000000
61456.1507,9,3,30821.41209,4,Parand,545000000
60815.39039,4,4,31233.64935,5,Parand,1280000000
51217.18116,4,3,47089.47508,5,Punak,2800000000
63027.67471,4,4,35991.72064,3,Gisha,11200000000
62484.8553,7,1,26882.65179,3,Parand,750000000
73923.46627,5,1,58745.31203,1,Jeyhoon,850000000
79737.60976,8,5,28307.31433,1,Lavizan,3300000000
63890.47157,6,1,43416.49782,2,Shams Abad,3280000000
67310.03695,4,3,43310.61243,4,Fatemi,4800000000
73145.73022,3,4,49463.37888,4,Gisha,7300000000
86924.35877,5,3,28719.41089,2,Keshavarz Boulevard,3950000000
74384.10563,5,5,17117.44367,1,Parand,370000000
67477.78818,4,5,29763.92535,5,Baghestan,750000000
71202.95692,4,4,34207.39721,2,Salsabil,1725000000
85845.3178,9,3,46477.67868,4,Kahrizak,780000000
72138.87048,7,3,35799.63827,1,Shahryar,1419000000
44806.00516,8,3,57390.89007,5,Qarchak,1200000000
67504.17846,3,5,37441.12054,1,Northren Jamalzadeh,3600000000
74706.10053,8,2,39680.60932,1,Salsabil,1050000000
68898.34591,6,1,39515.57156,3,Shahryar,1200000000
58118.01816,6,2,35598.39044,3,Shahrake Qods,340000000
77643.28309,7,2,35512.25505,4,Ostad Moein,3300000000
67769.82559,3,2,33254.60341,2,Azarbaijan,2800000000
74411.05989,7,3,43537.50295,2,Bahar,1200000000
73101.0788,3,4,29497.97129,4,Qarchak,3600000
58708.41716,7,1,15969.92604,5,Pakdasht,165000000
63876.05991,7,3,38052.87644,4,Railway,2860000000
68343.15409,9,3,40653.87007,2,Persian Gulf Martyrs Lake,3810000000
73064.97996,3,4,30699.33971,1,Persian Gulf Martyrs Lake,1790000000
67367.26808,5,1,32547.27253,1,Persian Gulf Martyrs Lake,1530000000
66547.18175,4,4,16741.96499,2,Beryanak,1000000000
73313.54538,3,5,37808.99667,2,Punak,3500000000
47681.36173,9,4,50908.97891,3,Heshmatieh,3000000000
67910.94913,7,2,31379.78297,3,Elm-o-Sanat,1800000000
69277.89125,3,2,43717.91309,5,Saadat Abad,20000000000
67946.71468,3,5,35197.94257,3,Golestan,950000000
90975.11327,5,1,44426.21365,5,Southern Janatabad,6000000000
61885.54644,8,1,48726.9513,3,Shahr-e-Ziba,3700000000
69401.84722,8,5,29293.07405,2,Southern Janatabad,2000000000
72969.12127,3,2,31755.72136,5,Punak,3050000000
75582.45976,3,5,31946.30387,3,Pardis,605000000
56241.22677,8,4,32745.36812,2,Pasdaran,9900000000
79412.83547,3,1,17568.73376,5,Pirouzi,3700000000
79618.23685,9,1,29636.50711,2,Feiz Garden,2500000000
67019.07405,9,1,24997.10871,3,Farmanieh,10480000000
56063.48087,7,3,39129.2967,3,Chardivari,7632000000
57077.5803,3,5,33393.9166,4,Punak,7632000000
75954.81825,9,4,34467.7587,5,Gheitarieh,12300000000
52575.81517,6,3,41828.57962,4,Farmanieh,26950000000
63312.80567,7,3,43230.35216,3,Kamranieh,24300000000
82526.9621,7,2,43947.68026,3,Central Janatabad,3000000000
73204.94213,4,2,35090.50081,2,East Ferdows Boulevard,2100000000
56357.19314,8,1,38061.9983,1,Gholhak,4700000000
71316.62465,9,2,21651.69941,2,Pasdaran,9180000000
75046.8482,4,5,32468.03115,4,Islamshahr,1579500000
84474.16006,8,4,38677.81515,5,Pasdaran,12000000000
68162.68393,4,1,31843.87634,5,Pirouzi,1750000000
62784.33295,4,1,35122.38947,1,Central Janatabad,3780000000
67009.81567,6,5,39737.12261,4,Heravi,8100000000
67437.25036,6,1,29356.22337,1,Heravi,9100000000
65967.76931,9,5,35799.96255,2,Hashemi,1550000000
42816.30589,6,3,47457.66221,5,Jeyhoon,1640000000
83347.6697,4,2,48226.71893,5,Gheitarieh,20000000000
81699.88,6,1,39527.04856,2,Central Janatabad,2750000000
56143.78866,5,3,45084.03666,1,Punak,1750000000
59513.83492,5,1,44162.27921,2,Heravi,15400000000
78379.41224,6,5,31357.38821,2,Andisheh,350000000
70877.37574,3,2,36033.42685,1,Heravi,4115000000
61526.97445,7,2,27307.94803,3,Pasdaran,8000000000
65316.99602,6,3,55799.49748,4,Pardis,580000000
76268.81833,4,5,38649.85239,4,Pardis,560000000
48531.36423,8,3,39731.15056,5,Heravi,4800000000
82906.6548,7,5,38820.48194,5,West Ferdows Boulevard,1550000000
63117.84405,4,3,43091.84514,5,Saadat Abad,7500000000
75860.86115,5,5,41003.88008,4,Islamshahr,630000000
68844.76425,3,1,48392.49736,1,Dehkade Olampic,2000000000
52446.26686,4,4,32934.5532,1,Golestan,2400000000
69342.70684,9,2,37082.37422,3,Golestan,1100000000
55932.05268,3,3,42488.31,1,Saadat Abad,24000000000
53306.92214,8,2,39063.33871,5,West Pars,3820000000
56976.5464,7,5,46375.50249,1,Punak,6000000000
51296.48863,6,2,32078.9068,3,Saadat Abad,5800000000
63995.00489,9,5,24748.26827,5,Damavand,3500000000
71915.14669,5,5,27714.29366,2,Saadat Abad,12300000000
62137.59721,5,1,19045.61951,1,Pasdaran,15750000000
78050.96983,9,5,27789.74852,1,East Ferdows Boulevard,11000000000
67371.42086,5,2,24797.76476,4,Southern Janatabad,3000000000
59362.76638,9,3,44723.35373,5,Pirouzi,3968000000
57003.10964,3,4,29594.69337,2,Republic,1909000000
68989.31221,8,5,32629.60383,5,Farmanieh,37800000000
70969.9021,9,4,24833.64615,1,East Ferdows Boulevard,5700000000
82251.65301,5,5,18408.79864,4,Zaferanieh,10490000000
71306.4573,3,2,43284.39716,5,West Ferdows Boulevard,3200000000
70921.56857,7,4,29390.21727,5,West Ferdows Boulevard,1920000000
70739.4601,6,1,35148.66775,3,Gheitarieh,12300000000
58097.84182,3,3,19903.00008,4,Gheitarieh,7400000000
51273.50885,6,3,53811.89491,2,Saadat Abad,6200000000
